# bounds,48,48,672,672
# wall,48,48,672,48
# wall,672,48,672,672
# wall,672,672,48,672
# wall,48,672,48,48
ball_id,x,y,previous_x,previous_y,spawn_frame,vx,vy,r,g,b,radius
0,110,110,110,110,0,0,0,29,181,60,6
1,122,110,122,110,0,0,0,29,181,60,6
2,134,110,134,110,0,0,0,29,181,60,6
3,146,110,146,110,0,0,0,29,181,60,6
4,158,110,158,110,0,0,0,8,61,35,6
5,170,110,170,110,0,0,0,8,61,35,6
6,182,110,182,110,0,0,0,8,61,35,6
7,194,110,194,110,0,0,0,8,61,35,6
8,206,110,206,110,0,0,0,29,181,60,6
9,218,110,218,110,0,0,0,29,181,60,6
10,230,110,230,110,0,0,0,29,181,60,6
11,242,110,242,110,0,0,0,29,181,60,6
12,254,110,254,110,0,0,0,8,61,35,6
13,266,110,266,110,0,0,0,8,61,35,6
14,278,110,278,110,0,0,0,8,61,35,6
15,290,110,290,110,0,0,0,8,61,33,6
16,302,110,302,110,0,0,0,31,180,60,6
17,314,110,314,110,0,0,0,29,181,60,6
18,326,110,326,110,0,0,0,29,181,60,6
19,338,110,338,110,0,0,0,29,181,60,6
20,110,122,110,122,0,0,0,29,181,60,6
21,122,122,122,122,0,0,0,29,181,60,6
22,134,122,134,122,0,0,0,29,181,60,6
23,146,122,146,122,0,0,0,29,181,60,6
24,158,122,158,122,0,0,0,6,62,33,6
25,170,122,170,122,0,0,0,0,0,0,6
26,182,122,182,122,0,0,0,0,0,0,6
27,194,122,194,122,0,0,0,0,0,0,6
28,206,122,206,122,0,0,0,29,181,60,6
29,218,122,218,122,0,0,0,29,181,60,6
30,230,122,230,122,0,0,0,29,181,60,6
31,242,122,242,122,0,0,0,29,181,60,6
32,254,122,254,122,0,0,0,0,0,0,6
33,266,122,266,122,0,0,0,0,0,0,6
34,278,122,278,122,0,0,0,0,0,0,6
35,290,122,290,122,0,0,0,8,61,33,6
36,302,122,302,122,0,0,0,31,180,60,6
37,314,122,314,122,0,0,0,29,181,60,6
38,326,122,326,122,0,0,0,29,181,60,6
39,338,122,338,122,0,0,0,29,181,60,6
40,110,134,110,134,0,0,0,29,181,60,6
41,122,134,122,134,0,0,0,29,181,60,6
42,134,134,134,134,0,0,0,29,181,60,6
43,146,134,146,134,0,0,0,29,181,60,6
44,158,134,158,134,0,0,0,6,62,33,6
45,170,134,170,134,0,0,0,0,0,0,6
46,182,134,182,134,0,0,0,0,0,0,6
47,194,134,194,134,0,0,0,0,0,0,6
48,206,134,206,134,0,0,0,29,181,60,6
49,218,134,218,134,0,0,0,29,181,60,6
50,230,134,230,134,0,0,0,29,181,60,6
51,242,134,242,134,0,0,0,29,181,60,6
52,254,134,254,134,0,0,0,0,0,0,6
53,266,134,266,134,0,0,0,0,0,0,6
54,278,134,278,134,0,0,0,0,0,0,6
55,290,134,290,134,0,0,0,8,61,33,6
56,302,134,302,134,0,0,0,31,180,60,6
57,314,134,314,134,0,0,0,29,181,60,6
58,326,134,326,134,0,0,0,29,181,60,6
59,338,134,338,134,0,0,0,29,181,60,6
60,110,146,110,146,0,0,0,29,181,60,6
61,122,146,122,146,0,0,0,29,181,60,6
62,134,146,134,146,0,0,0,29,181,60,6
63,146,146,146,146,0,0,0,29,181,60,6
64,158,146,158,146,0,0,0,6,62,33,6
65,170,146,170,146,0,0,0,0,0,0,6
66,182,146,182,146,0,0,0,0,0,0,6
67,194,146,194,146,0,0,0,0,0,0,6
68,206,146,206,146,0,0,0,29,181,60,6
69,218,146,218,146,0,0,0,29,181,60,6
70,230,146,230,146,0,0,0,29,181,60,6
71,242,146,242,146,0,0,0,29,181,60,6
72,254,146,254,146,0,0,0,0,0,0,6
73,266,146,266,146,0,0,0,0,0,0,6
74,278,146,278,146,0,0,0,0,0,0,6
75,290,146,290,146,0,0,0,8,61,33,6
76,302,146,302,146,0,0,0,31,180,60,6
77,314,146,314,146,0,0,0,29,181,60,6
78,326,146,326,146,0,0,0,29,181,60,6
79,338,146,338,146,0,0,0,29,181,60,6
80,110,158,110,158,0,0,0,29,181,60,6
81,122,158,122,158,0,0,0,29,181,60,6
82,134,158,134,158,0,0,0,29,181,60,6
83,146,158,146,158,0,0,0,29,181,60,6
84,158,158,158,158,0,0,0,29,181,60,6
85,170,158,170,158,0,0,0,29,181,60,6
86,182,158,182,158,0,0,0,29,181,60,6
87,194,158,194,158,0,0,0,29,181,60,6
88,206,158,206,158,0,0,0,7,62,33,6
89,218,158,218,158,0,0,0,7,62,33,6
90,230,158,230,158,0,0,0,7,62,33,6
91,242,158,242,158,0,0,0,7,62,33,6
92,254,158,254,158,0,0,0,29,181,60,6
93,266,158,266,158,0,0,0,29,181,60,6
94,278,158,278,158,0,0,0,29,181,60,6
95,290,158,290,158,0,0,0,29,181,60,6
96,302,158,302,158,0,0,0,29,181,60,6
97,314,158,314,158,0,0,0,29,181,60,6
98,326,158,326,158,0,0,0,29,181,60,6
99,338,158,338,158,0,0,0,29,181,60,6
100,110,170,110,170,0,0,0,29,181,60,6
101,122,170,122,170,0,0,0,29,181,60,6
102,134,170,134,170,0,0,0,29,181,60,6
103,146,170,146,170,0,0,0,29,181,60,6
104,158,170,158,170,0,0,0,29,181,60,6
105,170,170,170,170,0,0,0,29,181,60,6
106,182,170,182,170,0,0,0,29,181,60,6
107,194,170,194,170,0,0,0,29,181,60,6
108,206,170,206,170,0,0,0,0,0,2,6
109,218,170,218,170,0,0,0,0,0,2,6
110,230,170,230,170,0,0,0,0,0,2,6
111,242,170,242,170,0,0,0,0,0,2,6
112,254,170,254,170,0,0,0,29,181,60,6
113,266,170,266,170,0,0,0,29,181,60,6
114,278,170,278,170,0,0,0,29,181,60,6
115,290,170,290,170,0,0,0,29,181,60,6
116,302,170,302,170,0,0,0,29,181,60,6
117,314,170,314,170,0,0,0,29,181,60,6
118,326,170,326,170,0,0,0,29,181,60,6
119,338,170,338,170,0,0,0,29,181,60,6
120,110,182,110,182,0,0,0,29,181,60,6
121,122,182,122,182,0,0,0,29,181,60,6
122,134,182,134,182,0,0,0,29,181,60,6
123,146,182,146,182,0,0,0,29,181,60,6
124,158,182,158,182,0,0,0,29,181,60,6
125,170,182,170,182,0,0,0,29,181,60,6
126,182,182,182,182,0,0,0,7,62,33,6
127,194,182,194,182,0,0,0,7,62,33,6
128,206,182,206,182,0,0,0,0,0,0,6
129,218,182,218,182,0,0,0,0,0,0,6
130,230,182,230,182,0,0,0,0,0,0,6
131,242,182,242,182,0,0,0,0,0,0,6
132,254,182,254,182,0,0,0,7,62,33,6
133,266,182,266,182,0,0,0,7,62,33,6
134,278,182,278,182,0,0,0,29,181,60,6
135,290,182,290,182,0,0,0,29,181,60,6
136,302,182,302,182,0,0,0,29,181,60,6
137,314,182,314,182,0,0,0,29,181,60,6
138,326,182,326,182,0,0,0,29,181,60,6
139,338,182,338,182,0,0,0,29,181,60,6
140,110,194,110,194,0,0,0,29,181,60,6
141,122,194,122,194,0,0,0,29,181,60,6
142,134,194,134,194,0,0,0,29,181,60,6
143,146,194,146,194,0,0,0,29,181,60,6
144,158,194,158,194,0,0,0,29,181,60,6
145,170,194,170,194,0,0,0,29,181,60,6
146,182,194,182,194,0,0,0,0,1,3,6
147,194,194,194,194,0,0,0,0,1,3,6
148,206,194,206,194,0,0,0,0,0,0,6
149,218,194,218,194,0,0,0,0,0,0,6
150,230,194,230,194,0,0,0,0,0,0,6
151,242,194,242,194,0,0,0,0,0,0,6
152,254,194,254,194,0,0,0,0,1,3,6
153,266,194,266,194,0,0,0,0,1,3,6
154,278,194,278,194,0,0,0,29,181,60,6
155,290,194,290,194,0,0,0,29,181,60,6
156,302,194,302,194,0,0,0,29,181,60,6
157,314,194,314,194,0,0,0,29,181,60,6
158,326,194,326,194,0,0,0,29,181,60,6
159,338,194,338,194,0,0,0,29,181,60,6
160,110,206,110,206,0,0,0,29,181,60,6
161,122,206,122,206,0,0,0,29,181,60,6
162,134,206,134,206,0,0,0,29,181,60,6
163,146,206,146,206,0,0,0,29,181,60,6
164,158,206,158,206,0,0,0,29,181,60,6
165,170,206,170,206,0,0,0,29,181,60,6
166,182,206,182,206,0,0,0,0,0,0,6
167,194,206,194,206,0,0,0,0,0,0,6
