# bounds,48,48,672,672
# wall,48,48,672,48
# wall,672,48,672,672
# wall,672,672,48,672
# wall,48,672,48,48
ball_id,x,y,r,g,b,radius
0,110,110,180,180,180,6
1,122,110,180,180,180,6
2,134,110,180,180,180,6
3,146,110,180,180,180,6
4,158,110,180,180,180,6
5,170,110,180,180,180,6
6,182,110,180,180,180,6
7,194,110,180,180,180,6
8,206,110,180,180,180,6
9,218,110,180,180,180,6
10,230,110,180,180,180,6
11,242,110,180,180,180,6
12,254,110,180,180,180,6
13,266,110,180,180,180,6
14,278,110,180,180,180,6
15,290,110,180,180,180,6
16,302,110,180,180,180,6
17,314,110,180,180,180,6
18,326,110,180,180,180,6
19,338,110,180,180,180,6
20,110,122,180,180,180,6
21,122,122,180,180,180,6
22,134,122,180,180,180,6
23,146,122,180,180,180,6
24,158,122,180,180,180,6
25,170,122,180,180,180,6
26,182,122,180,180,180,6
27,194,122,180,180,180,6
28,206,122,180,180,180,6
29,218,122,180,180,180,6
30,230,122,180,180,180,6
31,242,122,180,180,180,6
32,254,122,180,180,180,6
33,266,122,180,180,180,6
34,278,122,180,180,180,6
35,290,122,180,180,180,6
36,302,122,180,180,180,6
37,314,122,180,180,180,6
38,326,122,180,180,180,6
39,338,122,180,180,180,6
40,110,134,180,180,180,6
41,122,134,180,180,180,6
42,134,134,180,180,180,6
43,146,134,180,180,180,6
44,158,134,180,180,180,6
45,170,134,180,180,180,6
46,182,134,180,180,180,6
47,194,134,180,180,180,6
48,206,134,180,180,180,6
49,218,134,180,180,180,6
50,230,134,180,180,180,6
51,242,134,180,180,180,6
52,254,134,180,180,180,6
53,266,134,180,180,180,6
54,278,134,180,180,180,6
55,290,134,180,180,180,6
56,302,134,180,180,180,6
57,314,134,180,180,180,6
58,326,134,180,180,180,6
59,338,134,180,180,180,6
60,110,146,180,180,180,6
61,122,146,180,180,180,6
62,134,146,180,180,180,6
63,146,146,180,180,180,6
64,158,146,180,180,180,6
65,170,146,180,180,180,6
66,182,146,180,180,180,6
67,194,146,180,180,180,6
68,206,146,180,180,180,6
69,218,146,180,180,180,6
70,230,146,180,180,180,6
71,242,146,180,180,180,6
72,254,146,180,180,180,6
73,266,146,180,180,180,6
74,278,146,180,180,180,6
75,290,146,180,180,180,6
76,302,146,180,180,180,6
77,314,146,180,180,180,6
78,326,146,180,180,180,6
79,338,146,180,180,180,6
80,110,158,180,180,180,6
81,122,158,180,180,180,6
82,134,158,180,180,180,6
83,146,158,180,180,180,6
84,158,158,180,180,180,6
85,170,158,180,180,180,6
86,182,158,180,180,180,6
87,194,158,180,180,180,6
88,206,158,180,180,180,6
89,218,158,180,180,180,6
90,230,158,180,180,180,6
91,242,158,180,180,180,6
92,254,158,180,180,180,6
93,266,158,180,180,180,6
94,278,158,180,180,180,6
95,290,158,180,180,180,6
96,302,158,180,180,180,6
97,314,158,180,180,180,6
98,326,158,180,180,180,6
99,338,158,180,180,180,6
100,110,170,180,180,180,6
101,122,170,180,180,180,6
102,134,170,180,180,180,6
103,146,170,180,180,180,6
104,158,170,180,180,180,6
105,170,170,180,180,180,6
106,182,170,180,180,180,6
107,194,170,180,180,180,6
108,206,170,180,180,180,6
109,218,170,180,180,180,6
110,230,170,180,180,180,6
111,242,170,180,180,180,6
112,254,170,180,180,180,6
113,266,170,180,180,180,6
114,278,170,180,180,180,6
115,290,170,180,180,180,6
116,302,170,180,180,180,6
117,314,170,180,180,180,6
118,326,170,180,180,180,6
119,338,170,180,180,180,6
120,110,182,180,180,180,6
121,122,182,180,180,180,6
122,134,182,180,180,180,6
123,146,182,180,180,180,6
124,158,182,180,180,180,6
125,170,182,180,180,180,6
126,182,182,180,180,180,6
127,194,182,180,180,180,6
128,206,182,180,180,180,6
129,218,182,180,180,180,6
130,230,182,180,180,180,6
131,242,182,180,180,180,6
